Ide,Expl,Lesiones,Localizacion,Lesiones_TB,Patron_lesiones,Score_lesional,PIROPLASMA,THEILERIA,ANAPLASMA,VITAMINA_D,CALCIO,PIROPLASMA_Q,EDAD,SEXO,RAZA,IDTC,PIROPLASMA_Q_log,RAZA2,Patron_lesiones_3
115966718,VC94C,Abcessos,Rejeição muidezas total,1,1,5,1.0,0.0,1.0,18.46935571,0.934744826,78.08511761,1,M,Cruzado,23,4.370524710548443,Cruzado,1
119945221,VC94C,Abcessos,Rejeição muidezas total,1,1,5,1.0,0.0,1.0,22.23113782,0.940392256,2079.205334,1,F,Cruzado,6,7.640221886092267,Cruzado,1
919698208,VC94C,Lesão,Linfonodos mediatinicos,1,0,2,1.0,0.0,0.0,21.88557864,0.973746496,252.433738,5,F,Cruzado,13,5.535102400303137,Cruzado,0
316464984,VC94C,Lesão caseosa / nódulo no pulmão de grandes dimensões e varios granulomas no omento e intestino,Linfonodos mediatinicos + Pulmonar + omento + intestino + rejeição muidezas total,1,1,5,1.0,1.0,1.0,20.02645021,0.9455015,33.11621997,14,F,Cruzado,9,3.529772930143897,Cruzado,1
118349440,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,1.0,0.0,0.0,13.31005515,0.923156602,308.4238953,6,M,Alentejana,11,5.734712166249236,Alentejana,-1
22437655,VA32D,Lesão caseo-calcária,Linfonodos brônquicos ,1,0,2,0.0,0.0,0.0,5.500531787,0.857655668,0.0,3,F,Cruzado,7,0.0,Cruzado,0
922314749,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,0.0,0.0,0.0,8.70898957,0.940666596,0.0,3,F,Cruzado,10,0.0,Cruzado,-1
923998066,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,,0.0,0.0,16.5442693,0.951232175,,1,F,Cruzado,10,,Cruzado,-1
222437654,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,1.0,0.0,0.0,2.3613554,0.871539471,52.78640468,3,F,Cruzado,8,3.9850207341181902,Cruzado,-1
722437666,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,0.0,0.0,1.0,12.81291666,0.928290843,0.0,3,F,Cruzado,28,0.0,Cruzado,-1
923998061,VA32D,Brônquicos - lesão caseosa,Linfonodos brônquicos e linfonodos mediastinicos,1,1,2,1.0,0.0,0.0,21.71362136,0.91319786,2.422371751,1,M,Cruzado,9,1.2303338051628034,Cruzado,1
18349417,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,1.0,0.0,0.0,18.34508656,0.976889806,91.48694609,6,F,Cruzado,7,4.527067511208191,Cruzado,-1
723998062,VA32D,Lesão calcificada,Linfonodos brônquicos e linfonodos mediastinicos,1,1,2,0.0,0.0,0.0,12.88278309,0.930401305,0.0,1,M,Cruzado,13,0.0,Cruzado,1
64598178,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,1.0,0.0,0.0,11.03319853,0.948813473,4249.106484,15,F,Alentejana,11,8.354699316663414,Alentejana,-1
423035537,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,0.0,0.0,0.0,28.65356236,0.873352377,0.0,2,F,Cruzado,13,0.0,Cruzado,-1
316022462,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,,0.0,0.0,14.87971351,0.947609859,,9,F,Alentejana,16,,Alentejana,-1
522437662,VA32D,Lesão caseosa,Linfonodos brônquicos ,1,0,2,0.0,0.0,0.0,3.107612592,0.852823991,,3,F,Cruzado,17,,Cruzado,0
522314746,VA32D,Lesão caseo-calcária,Linfonodos brônquicos ,1,0,2,0.0,0.0,0.0,0.926723322,0.835016443,0.0,3,F,Cruzado,32,0.0,Cruzado,0
422437677,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,,0.0,0.0,11.15385052,0.937632071,,2,F,Cruzado,21,,Cruzado,-1
222437659,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,,0.0,0.0,3.236976697,0.87938452,,3,F,Cruzado,8,,Cruzado,-1
718487779,VA32D,Lesão,Linfonodos brônquicos ,1,0,2,1.0,0.0,0.0,10.53481805,0.935534137,40.52086069,6,F,Alentejana,18,3.726195968170718,Alentejana,0
165088694,VA32D,Lesão caseosa,Linfonodos brônquicos ,1,0,2,1.0,0.0,0.0,25.63090311,0.944890699,17.07124679,13,F,Alentejana,10,2.8943221000102857,Alentejana,0
222437678,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,0.0,0.0,0.0,4.947111031,0.871842424,0.0,2,F,Cruzado,14,0.0,Cruzado,-1
123998060,VA32D,Não apresentava lesões,Sem lesões,0,-1,0,0.0,0.0,0.0,8.158821839,0.913464257,0.0,1,F,Cruzado,13,0.0,Cruzado,-1
318838363,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,,0.0,0.0,14.24626513,0.954552162,,7,F,Cruzado,8,,Cruzado,0
518363807,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,0.0,13.63978345,0.935837501,557.6429265,8,F,Cruzado,13,6.325510497139267,Cruzado,0
518873851,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,0.0,6.837107596,0.959079294,680.3888622,7,F,Cruzado,9,6.524133159628059,Cruzado,0
618838371,WZ72B,Não apresentava lesões,Sem lesões,0,-1,0,1.0,0.0,0.0,32.55955181,0.964211685,73.02238714,7,F,Cruzado,0,4.304367576370443,Cruzado,-1
418282538,WZ72B,Não apresentava lesões,Sem lesões,0,-1,0,1.0,0.0,0.0,23.81667049,0.975682366,45.13955974,8,M,Cruzado,27,3.8316707108708687,Cruzado,-1
218873862,WZ72B,Lesão caseosa,Linfonodos parotídeos,1,0,1,1.0,0.0,0.0,19.95841335,0.995551432,437.5925816,7,F,Cruzado,10,6.083570922024058,Cruzado,0
618873865,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,,0.0,0.0,20.12187992,0.9497224,,7,F,Cruzado,12,,Cruzado,0
619453740,WZ72B,Não apresentava lesões,Sem lesões,0,-1,0,1.0,0.0,0.0,28.11335629,0.941268352,2022.943694,6,F,Cruzado,14,7.612803210850435,Cruzado,-1
223210607,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,0.0,11.46128433,0.962097903,10.71831399,3,F,Cruzado,11,2.46115291629185,Cruzado,0
822049873,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,1.0,1.0,1.0,6.987457639,0.925272246,4088.698022,5,F,Cruzado,9,8.316226413059205,Cruzado,0
719453735,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,,0.0,1.0,26.55308073,0.934624026,,6,F,Cruzado,20,,Cruzado,0
318873852,WZ72B,Lesão caseosa,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,0.0,9.022331448,0.925272246,1531.136417,7,F,Cruzado,7,7.334418391375427,Cruzado,0
