Variable,N,Alcanzabilidad (%),Media(Δ),Std(Δ),Mediana(Δ),P25-P75,Rango(Δ)
VITAMINA_D,11/17,64.7%,+13.678,4.514,+13.118,"[+11.482, +14.417]","[+7.587, +24.744]"
CALCIO,9/17,52.9%,-0.010,0.007,-0.007,"[-0.015, -0.005]","[-0.023, -0.002]"
